"time slot","WiFi bit rate (Mbps)","Cellular bit rate (Mbps)"
1,4.214837982745599,3.121496
2,4.834762111628117,2.828460307692308
3,4.839252006219929,1.5572388571428573
4,4.279860059685926,2.128301714285714
5,4.839177168316613,2.134884571428571
6,4.838236152116516,2.5088548571428575
7,4.8384065445601365,2.6425874285714284
8,4.344422514557834,4.264684
9,4.838595174379605,3.1733273846153844
10,4.835447897487898,3.057700571428571
11,4.840009648095603,3.9184091428571435
12,4.8365103224279675,4.1973577142857135
13,4.567952501731712,3.4646217142857134
14,4.582970306296996,3.053193142857143
15,4.839360060386341,3.2350445714285714
16,4.835516448348379,2.508854857142857
17,4.8354842476460655,3.2515925714285716
18,4.836857288288624,3.324372571428571
19,4.8305406882951525,2.746267428571428
20,4.395192140705693,2.094171428571429
21,4.763469872917268,2.8750262857142856
22,4.83223265403168,2.803474285714286
23,4.840061108802635,2.490515692307692
24,4.8339503063092195,2.590747428571429
25,4.838597789001439,3.070200571428572
26,4.839899038202049,2.8244388571428574
27,4.8385048178612085,2.9379931428571426
28,4.421419573278012,1.716873142857143
29,4.748057646345963,2.0591817142857143
30,4.838308813491407,2.601897142857143
31,4.838378785767022,2.282176
32,4.841324947343804,2.2554514285714284
33,4.835076357975478,3.191886769230769
34,4.834844963841858,3.3753234285714284
35,4.837435259006031,2.868873142857143
36,4.377474248586783,2.7968102857142862
37,4.790378902251269,3.436986857142857
38,4.835508840029186,3.5169445714285708
39,4.8398208143683075,2.954053714285714
40,4.835499310451041,2.589832571428571
41,4.844558637430699,3.244574857142857
42,4.841665577073215,2.6800091428571426
43,4.841558466286214,3.9731108571428573
44,4.393698285609738,4.069077714285714
45,4.752678645257197,3.0722045714285713
46,4.839941804710234,2.5454902857142856
47,4.8354949299317544,2.9030034285714286
48,4.838626088618576,2.9878434285714284
49,4.8384765196626,2.41344
50,4.836594176916776,2.891294857142857
51,4.8306609856581595,2.190016
52,4.394275479120644,2.478220571428572
53,4.759787649467347,2.8187228571428578
54,4.828317712091694,2.3068892307692304
55,4.845991448619565,3.0211520000000003
56,4.8308308861416025,2.421278285714286
57,4.8399461890892175,2.1659257142857147
58,4.810624464586726,4.9292181333333325
59,4.561426768138124,4.018969714285715
60,3.0601588383449543,3.535350857142857
61,3.7948147438324304,3.1657649230769227
62,3.8890551438765337,2.765622857142857
63,1.864847221384234,4.4956251428571425
64,3.928923666562636,3.494208
65,3.8779750026862114,4.644598857142857
66,4.250544162151189,5.477330285714286
67,4.090036818100006,5.263387428571427
68,3.6251069038777812,4.976603428571429
69,4.377777769765306,3.837769142857143
70,4.2608093553185595,3.7575588571428566
71,4.121097287869899,6.274936000000001
72,4.171027756494389,5.715717142857143
73,4.267931942250769,4.659899428571428
74,4.833043227591735,3.378310857142857
75,3.354966902160194,3.463094857142857
76,1.7989470839423525,5.806966285714288
77,1.9039970820673362,5.273654857142858
78,1.5735241175922592,5.393092923076923
79,1.181402829659626,3.6822857142857144
80,3.4098814317292696,3.7982720000000008
81,1.0801257755923648,6.09898057142857
82,3.7505076040887952,5.0415725714285715
83,4.1597087566487,4.469759999999999
84,2.6763723623851003,4.726454857142857
85,1.9338921457092582,6.142555428571428
86,3.1596852507890065,5.322633142857144
87,3.6840356678486605,5.297947428571428
88,3.2242019261436687,6.218651428571429
89,3.414423314111443,5.933979428571429
90,2.8809238804947515,5.841426285714286
91,2.6275603880155196,5.939369142857141
92,1.588237029475492,5.112790857142857
93,2.2365269686192675,4.668770285714286
94,2.463905000983254,4.336861538461539
95,2.394254052632815,4.295693714285714
96,3.257385535910613,6.9102811428571425
97,2.58123685993219,7.425033142857141
98,2.6598953559525373,6.5914788571428575
99,3.594344310332207,4.635940571428571
100,2.6546828760146135,3.406813866666667
101,1.7442133928270467,5.490852571428571
102,1.564910542331971,5.80203323076923
103,2.991749809430282,5.176128
104,3.024572978052276,4.50224457142857
105,3.869727186109486,3.5485531428571426
106,3.6422874638616345,2.2208548571428572
107,2.7458710021351953,2.08512
108,2.3064713562961185,1.009216
109,3.9120517108242012,3.1338633846153843
110,3.8508113718984496,1.4008319999999999
111,3.374381621956929,2.032374153846154
112,4.324095041819588,2.7721691428571433
113,3.7178351280595017,3.151542857142857
114,3.6222420535681596,3.7859657142857146
115,3.9997236493667403,3.823387428571429
116,3.5966290286469107,5.083181714285715
117,3.2033151215433002,4.646208
118,3.3527693423244647,4.294848
